review_id,product_id,product_name,category,review_date,rating,review_title,review_text,verified_purchase,country
sw-0029,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-09-15,1,Constant syncing issues,Text previews get cut off so short they're basically useless. My app froze completely and I had to reinstall it just to open it.,true,NZ
cm-0027,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-09-17,1,Disappointing flavor,The machine broke down just past the one-year warranty mark.,true,NZ
tb-0017,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-09-21,5,Fantastic replacement heads,The battery lasts nearly three weeks on a single charge.,true,US
cm-0025,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-09-25,2,Stopped working early,I keep finding a puddle on my countertop after each use. The switch broke after light use for less than four months.,true,US
dc-0024,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-09-28,5,Fantastic for remote work,"The screws were pre-sorted into bags, so putting it together was painless.",true,NZ
hp-0035,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-09-29,1,Frustrating pairing problems,ANC introduces a hissing sound that's almost worse than the noise itself. One of the hinges cracked after just a few weeks of normal use.,true,US
hp-0039,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-10-03,1,Connection issues everywhere,Charging the battery fully still only gets me a few hours of use.,true,US
cm-0030,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-10-04,1,Not durable at all,The coffee tastes burnt even on a short brew cycle.,true,US
cm-0028,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-10-08,3,Does the job,My coffee tastes smooth with none of the bitterness I expected. Cleaning the carafe is a chore since coffee stains cling to it.,true,NZ
dc-0025,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-10-09,3,Still evaluating long term durability,The tilt and recline features function as expected but aren't especially smooth. Whether it's worth the money will probably depend on how long it lasts.,true,UK
hd-0010,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-10-11,1,Cheap feeling plastic,The airflow sputters and doesn't feel strong enough to dry properly. The motor sounds like it's straining under normal use.,true,AU
sw-0031,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-10-18,4,Screen readable in sunlight,My data has synced reliably every single morning since the update.,true,US
cm-0029,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-10-19,3,Average coffee maker,I noticed a tiny drip once but it hasn't happened again since.,true,US
dc-0026,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-10-19,1,Armrests stopped working,Stitching came loose on one of the seams after light use.,true,US
hd-0009,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-10-21,4,Solid construction overall,"I appreciate that the plastic housing feels solid, not flimsy. Even on the lowest setting the motor still pushes decent airflow.",true,AU
hp-0038,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-10-21,2,Muffled microphone,ANC does little to nothing against voices or sharp sounds. The plastic feels flimsy and cheap right out of the box.,true,US
hp-0040,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-10-21,1,Hinge cracked quickly,Comfort is a real issue since the ear cups get warm and itchy. These feel flimsy compared to headphones half the price. Audio quality drops noticeably when the battery gets low.,true,AU
hp-0037,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-10-23,4,Excellent value headphones,Switching between ANC and ambient modes works smoothly and instantly. Bass hits deep without drowning out the mids.,true,NZ
tb-0018,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-10-24,3,Works as expected,"The vibration feels a bit strong at first, then becomes normal.",true,UK
sw-0030,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-10-25,5,No more app crashes,The screen is bright and clear no matter the lighting outside. The app hasn't crashed once since I updated it last month.,true,US
sw-0032,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-10-27,2,Disappointing step tracking,Screen brightness maxes out but it's still hard to read outdoors.,true,UK
hp-0041,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-11-02,4,Battery lasts forever,Battery life has been fantastic for long flights.,true,US
sw-0033,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-11-03,4,Finally a reliable app,The connection to my phone feels rock solid throughout the day.,false,US
tb-0019,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-11-03,2,Disappointing cleaning results,The timer doesn't seem to work consistently during my brushing. My teeth don't feel any cleaner than they did with a manual brush.,true,US
sw-0035,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-11-05,1,App keeps crashing,Reading notifications in bright sunlight is nearly impossible on this display.,true,US
dc-0027,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-11-06,2,Instructions were confusing,I struggled for over an hour trying to assemble this chair. Sitting in this chair for extended hours leaves my hips sore.,true,US
dc-0028,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-11-06,4,Solid value for the price,"This was one of the easiest chairs I've ever had to put together. The armrests adjust in multiple directions, which suits my typing posture. Stitching around the armrests is tight and shows real attention to quality.",true,US
hd-0011,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-11-07,1,Disappointing power,The plastic body feels cheap and flimsy right out of the box. My hair takes just as long to dry as before.,false,UK
hp-0043,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-11-07,2,Flimsy plastic construction,"I have to charge them every single day, which gets old fast.",false,US
cm-0033,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-11-11,3,Nothing special either way,"The programming menu is logical, so setup felt effortless. It lasted barely two months before the pump gave out.",true,US
hd-0012,hairdryer-01,Cirrus 2000 Ionic Hair Dryer,Personal Care,2025-11-13,1,Slow drying time,"Even on the highest setting, the airflow lacks real power.",true,US
cm-0032,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-11-18,4,"No leaks, great flavor","Reliable performance day after day, no issues so far.",true,UK
cm-0031,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-11-21,5,Keeps coffee hot,It's lasted longer than any coffee maker I've previously owned. The flavor is consistent whether I use light or dark roast.,true,US
hp-0042,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-11-21,2,Flimsy plastic construction,The frame creaks loudly whenever I adjust the fit.,true,IE
sw-0034,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-11-30,4,Accurate step tracking,I sleep with it on and the band never bothers me. I like that I can customize which alerts actually buzz my wrist.,true,US
hp-0045,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-12-01,2,Poor call quality,The signal gets weak if I walk more than a few feet away.,true,UK
dc-0029,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-12-06,3,Average chair for the price,"Considering the price, the quality here really surprised me. My back aches from sitting on this seat within thirty minutes.",true,UK
cm-0036,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-12-08,3,Okay for daily use,The temperature stays consistent from the first cup to the last. The display broke down and now the clock won't stay set.,true,UK
cm-0034,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-12-10,4,Durable daily driver,This brews a genuinely rich cup that beats my old machine.,false,US
hp-0046,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-12-11,1,Ears hurt after wearing,"Battery life is nowhere near the advertised hours. Build quality feels rushed, like corners were cut on the materials.",true,IE
sw-0038,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-12-14,2,Notifications are unreliable,The accuracy of this thing for cycling workouts is a joke. It never lasts through a full workday like the box promised.,true,US
sw-0036,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-12-17,5,Pairing was effortless,The battery easily lasts five days on a single charge for me.,true,IE
sw-0037,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2025-12-19,5,Comfortable to wear all day,My wrist feels fine wearing this watch for twelve hours straight. GPS accuracy on hiking trails has impressed me more than my old watch.,true,NZ
dc-0030,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2025-12-20,4,Quality materials throughout,Every dollar felt well spent given how much this chair offers for the cost.,true,US
hp-0044,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2025-12-20,5,Reliable bluetooth connection,"The ear cups fit perfectly and don't press against my ears at all. The connection drops have been zero so far, which is a relief.",true,US
cm-0035,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2025-12-26,4,Quick morning brews,This has proven durable enough to survive daily heavy use.,true,UK
tb-0020,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2025-12-29,5,Sturdy solid build,Setup was easy and I was brushing within minutes. The battery indicator makes it easy to know when to charge.,false,UK
sw-0040,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2026-01-05,5,Comfortable to wear all day,Distance tracking on my morning jogs has been remarkably accurate. My app used to freeze constantly but that's completely gone now.,true,CA
dc-0032,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2026-01-07,3,Standard ergonomic chair,The lumbar cushion hugs my back and keeps my posture aligned all day. I can adjust the height with one hand while still seated.,true,US
sw-0041,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2026-01-10,5,Sleep tracking is spot on,The step tracking has been spot on every day this week. Battery drain has been minimal even with the screen always on.,true,UK
dc-0031,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2026-01-11,4,"Easy assembly, great chair",The overall value makes it easy to recommend at this cost.,true,CA
hp-0048,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2026-01-16,1,Bluetooth keeps disconnecting,The plastic housing scratches and marks far too easily. The weight of these headphones makes my neck sore over time.,true,IE
cm-0037,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2026-01-17,1,Lukewarm coffee every time,"Durability is poor, mine cracked after minimal daily use. The rich flavor promised in the description just isn't there.",true,US
sw-0039,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2026-01-17,5,Solid GPS accuracy,Syncing my workout data to the app is instant now.,true,UK
hp-0049,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2026-01-21,2,Disappointing sound quality,I noticed a crack forming near the hinge after light use. Treble gets harsh and tinny at higher volumes. My ears feel squished no matter how I adjust the fit.,false,IE
cm-0038,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2026-01-23,5,Bold flavor every morning,"Brewing speed is great, just a few minutes for a full carafe. I'm impressed by how balanced the brew tastes each time.",true,UK
hp-0047,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2026-01-30,5,Perfect for long flights,"The built-in mic handles background noise on calls surprisingly well. Bluetooth 5.0 pairing feels noticeably faster than my last pair. Charging is fast, and the battery holds up well over time.",true,AU
tb-0021,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2026-01-31,4,Long lasting battery,I only need to charge it once a month with daily use. The brush head attachment fits securely and never wobbles during use.,false,CA
hp-0052,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2026-02-04,2,Uncomfortable after an hour,Bluetooth pairing failed twice before it finally connected. Audio sounds compressed and lacks any real depth.,true,US
dc-0033,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2026-02-12,3,Mixed feelings about this chair,"For the price, this chair offers excellent value compared to pricier brands. The seat cushion is too thin and my rear goes numb after an hour of sitting.",true,US
cm-0039,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2026-02-15,5,Fast and reliable,Setup took less than five minutes right out of the box.,true,AU
dc-0034,deskchair-01,Meridian Ergonomic Desk Chair,Home Office,2026-02-16,4,Perfect for the home office,"The foam cushioning feels premium, not the cheap kind that flattens fast.",true,CA
tb-0022,toothbrush-01,Marlow Sonic Electric Toothbrush,Personal Care,2026-02-19,4,Gentle yet effective,The vibration is smooth and never feels harsh or overwhelming.,false,CA
sw-0044,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2026-02-22,5,Finally a reliable app,The Bluetooth connection to my phone hasn't dropped once this month. The recent update squashed the bugs that used to freeze my app constantly.,true,IE
sw-0042,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2026-02-26,4,"Bright, readable display",I switched phones and the watch paired again in under a minute. Every update lately has made the app noticeably more reliable. The accuracy of the calorie estimates during workouts feels honest.,true,UK
cm-0040,coffeemaker-01,Brightwell 12-Cup Programmable Coffee Maker,Kitchen Appliances,2026-02-27,2,Frustrating to program,"Every time the power blips, I have to redo the entire setup. The flavor is flat and lacks any real coffee taste.",true,CA
hp-0051,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2026-02-27,2,Battery drains too fast,"Build quality feels rushed, like corners were cut on the materials. Sound cuts out for a second or two every few minutes.",true,US
sw-0043,smartwatch-01,Pulse Active 2 Fitness Smartwatch,Wearables,2026-02-27,4,Accurate step tracking,The watch stays connected to my phone all day without dropping. Workout detection automatically starts tracking when I begin a run.,true,CA
hp-0050,headphones-01,Halcyon Q30 Noise-Canceling Headphones,Electronics,2026-02-28,1,Connection issues everywhere,"Playback time has dropped significantly after just a couple of months. Comfort declines fast once I've had them on for more than an hour. It keeps disconnecting and reconnecting, which is really distracting.",true,US
